model,tts_backend,word_count_low,word_count_high,row_count,conversion_time_s_mean,conversion_time_s_var,conversion_time_s_std,conversion_time_s_min,conversion_time_s_max,audio_duration_s_mean,audio_duration_s_var,audio_duration_s_std,audio_duration_s_min,audio_duration_s_max,real_time_factor_mean,real_time_factor_var,real_time_factor_std,real_time_factor_min,real_time_factor_max
Supertone/supertonic-3,supertonic,21,21,831,0.9833927454446832,0.012747014965518578,0.11290267917777053,0.7927458342164755,1.2743512112647295,8.899160291296411,1.3212719366148271,1.1494659353868766,6.7461347579956055,11.691954612731934,9.04929575309708,0.15342588799570894,0.39169616796148127,8.094427984157688,9.906628022427387
Supertone/supertonic-3,supertonic,22,22,757,1.0255423815573583,0.017907142748670113,0.13381757264526253,0.8067037835717201,1.3372680693864822,9.354043172144504,1.778988638798027,1.3337873289239282,6.897419452667236,12.297033309936523,9.11572616935959,0.1537876884716804,0.3921577341729733,8.160140182133999,9.934938885508187
Supertone/supertonic-3,supertonic,23,23,745,1.0637279882549617,0.017134150842991944,0.13089748218736655,0.8497085906565189,1.372727045789361,9.742026425687104,1.6209671089982283,1.2731720657469,7.363447666168213,12.781390190124512,9.164789186231358,0.1568075945246157,0.3959893868838099,8.075343367833757,9.944640913961523
Supertone/supertonic-3,supertonic,24,24,618,1.1062926025675919,0.017477800121198338,0.132203631270848,0.8708767695352435,1.413598669692874,10.19021863817311,1.6743975849300747,1.2939851563793439,7.816056251525879,13.053133964538574,9.22278024962955,0.11936274785501745,0.345489142890218,8.353741152133741,9.964057487926802
Supertone/supertonic-3,supertonic,25,25,572,1.1490130129991396,0.015283421374596668,0.12362613548354841,0.9218173390254378,1.4394555669277906,10.687763260496265,1.4768993144741889,1.2152774639868005,8.401732444763184,13.203571319580078,9.297474748204834,0.1129990453393335,0.33615330630433116,8.579611731904595,9.99840934311422
Supertone/supertonic-3,supertonic,26,26,544,1.1980381435923735,0.02024680914674291,0.14229128275036004,0.9655102714896202,1.5530760558322072,11.087406715081663,1.5962668518473186,1.263434545929198,8.918622016906738,14.137208938598633,9.287542677219097,0.1870868374617603,0.4325353597820186,7.889894154973663,10.082112886905263
Supertone/supertonic-3,supertonic,27,27,515,1.2274277066031458,0.02280476840241537,0.15101247763815867,0.9524859664961696,1.5930265011265874,11.447856435507987,2.0068369562933506,1.4166287291641908,8.741745948791504,14.847064018249512,9.364196527355304,0.13865469820564347,0.3723636639169341,8.361522842744828,10.099853552772439
Supertone/supertonic-3,supertonic,28,28,420,1.271905003246117,0.021100002804092365,0.14525840011542315,1.0261306511238217,1.6042213924229145,11.935045537494478,2.0559554456753886,1.4338603299050394,9.40265941619873,14.963011741638184,9.418700390668699,0.1358659690303198,0.3686000122494841,8.195936757114557,10.17319386622486
Supertone/supertonic-3,supertonic,29,29,390,1.3120333917119673,0.018478888602503882,0.13593707589360557,1.0560765909031034,1.6601863307878375,12.353248825073242,1.8527115381418215,1.3611434671414404,9.754441261291504,15.549821853637695,9.43656929973125,0.13281499722582762,0.36443791957729593,8.331128658118228,10.151895555974436
Supertone/supertonic-3,supertonic,30,30,326,1.3611565165658843,0.027145896466066074,0.1647601179474756,1.0650974242016673,1.8469467954710126,12.880868619802047,2.595635195476407,1.6110975127149838,9.711152076721191,16.306154251098633,9.470617945579253,0.15768865837236046,0.39710031273263996,8.181793163747011,10.258013694072808
Supertone/supertonic-3,supertonic,31,31,284,1.3859041800642444,0.02276207637500411,0.15087105877206572,1.108968410640955,1.768747697584331,13.143107693642378,2.213447372845234,1.487765899879828,10.444480895996094,16.49680519104004,9.495445388502342,0.13378921517072426,0.36577208090657254,8.516338631862242,10.273337652084146
Supertone/supertonic-3,supertonic,32,32,242,1.4317414178427548,0.025223231215373267,0.1588182332585691,1.162275666370988,1.7961905393749475,13.66862514478351,2.6475615792134635,1.6271329322503012,11.055328369140625,17.129682540893555,9.564812613371064,0.13540894267861822,0.3679795411142014,8.629104070053314,10.260730575617796
Supertone/supertonic-3,supertonic,33,33,234,1.4646575454267718,0.02289087573853652,0.15129730909218617,1.190561425872147,1.8418610747903585,14.011940597352528,2.236398304149438,1.4954592285145851,11.327629089355469,17.157005310058594,9.572376001302384,0.1815324549665749,0.4260662565453581,8.194660267743508,10.34169915720132
Supertone/supertonic-3,supertonic,34,34,189,1.5168838334264376,0.028479784751387332,0.16875954714145014,1.2665440691635013,1.9114439589902759,14.586992676495111,2.892374924468412,1.7006983637519064,11.531411170959473,18.761089324951172,9.636134475225619,0.17155725070380135,0.414194701443417,8.316828956771223,10.443351092107225
Supertone/supertonic-3,supertonic,35,35,148,1.5842181281117138,0.048639647034739754,0.22054397981976237,1.2561116917058825,2.1553225964307785,15.158465093641139,3.2686191520606402,1.8079322863593759,11.997952461242676,19.761157989501953,9.643220952335815,0.22324692605973173,0.47249013329352363,8.10229722179438,10.39924489954009
Supertone/supertonic-3,supertonic,36,36,136,1.5895952406782108,0.03648659030701604,0.19101463375096694,1.302384871058166,2.055593687109649,15.317887681429504,3.598652420401815,1.8970114444572588,12.350809097290039,19.716157913208008,9.647452872783926,0.20202534959021257,0.4494723012491566,8.352940661329582,10.43059826678815
Supertone/supertonic-3,supertonic,37,37,129,1.6262649384717274,0.03929148078533268,0.19822078797475476,1.297007973305881,2.2273307675495744,15.616430372254461,3.2746650848115304,1.8096035711756127,12.45519733428955,20.468135833740234,9.635905792773773,0.24160242128417775,0.49153069210800837,8.23485946559906,10.436780352047121
Supertone/supertonic-3,supertonic,38,38,126,1.6531176365699554,0.027321978829377584,0.16529361400059467,1.370661936700344,2.0472200214862823,16.12584000303034,2.0961818384930964,1.4478196843851434,13.333824157714844,20.03074073791504,9.807513319079817,0.10851317431517933,0.32941337907738255,8.582637618410262,10.428839018849368
Supertone/supertonic-3,supertonic,39,39,86,1.6597569492908242,0.039453118930416864,0.19862809199712125,1.3447205545380712,2.1155111929401755,16.234791327745487,3.4185715118864803,1.8489379415995768,13.022798538208008,19.772321701049805,9.817502017213855,0.1029664121676332,0.3208837985433874,9.021449805593699,10.461307977855723
Supertone/supertonic-3,supertonic,40,40,67,1.8265548922487946,0.08114062933110087,0.28485194282486626,1.3838983224704862,2.5689657358452678,17.504229076573107,5.896601173206978,2.42829182208543,13.87895393371582,23.761734008789062,9.652269037267054,0.17784961725119944,0.4217222038868708,8.530144639786235,10.489042430917213
Supertone/supertonic-3,supertonic,41,41,60,1.8029002398252487,0.06145764262037906,0.24790651992309332,1.4379830118268728,2.4554263576865196,17.381160965672247,4.115742805164058,2.028729357298321,14.000473022460938,21.55082893371582,9.726113981442177,0.3251272687913197,0.5701993237380414,8.382182814554719,10.519670901616374
Supertone/supertonic-3,supertonic,42,42,60,1.8757739903888218,0.05081355154011327,0.225418614005395,1.4734390508383512,2.354429201222956,18.35177063058924,4.370407670325051,2.090552001344394,15.281047821044922,23.020843505859375,9.863673536828795,0.19797023993940413,0.4449384675878274,8.5144476394201,10.521128803293763
Supertone/supertonic-3,supertonic,43,43,47,1.9069801597357836,0.04987596316407039,0.22332927072838077,1.5210686400532722,2.3634849078953266,18.627838933190635,4.881545642219436,2.20942201541929,14.874966621398926,22.837736129760742,9.72513109682886,0.1201297848226044,0.3465974391460566,8.81081688759535,10.632343488692245
Supertone/supertonic-3,supertonic,44,44,43,1.8823404152376146,0.03883112715975776,0.19705615230121024,1.5220128018409014,2.2027747184038162,18.18756795540834,4.370606427558657,2.090599537826089,14.67142105102539,22.20639991760254,9.71491814347239,0.31229096553402563,0.5588299969883735,7.974118872651577,10.483800022155851
Supertone/supertonic-3,supertonic,45,45,26,1.925942010207412,0.04284108156384871,0.2069808724589031,1.607742926105857,2.4104371601715684,18.941046953201294,3.9309770567351165,1.982669174808323,16.052268981933594,24.374168395996094,9.827112787589718,0.22795400381716133,0.47744528882078346,8.688656495790815,10.413179287732252
Supertone/supertonic-3,supertonic,46,46,35,2.185961808258247,0.11186834141968233,0.33446725014518586,1.6370707750320435,2.8155090007930994,20.394987844651745,5.744375556775607,2.3967426972404873,16.22018051147461,24.79063606262207,9.391569962037774,0.4705733731558178,0.6859835079328204,7.632728500363687,10.543388577726555
Supertone/supertonic-3,supertonic,47,47,28,2.0523568897221525,0.05370788533572647,0.23174961776824243,1.6667427700012922,2.6656484538689256,19.721913044269268,4.6996156869981,2.1678597018714334,15.802553176879883,24.181262969970703,9.590290340595926,0.166482878027588,0.4080231341818598,8.73171045094202,10.290220250407849
Supertone/supertonic-3,supertonic,48,48,20,2.3819748275499375,0.1936662220885402,0.44007524593930547,1.9211811181157827,3.512271952815354,22.004856321546768,15.558644166468039,3.9444447221970345,18.276174545288086,35.095157623291016,9.370434061928837,0.7370347528482608,0.8585072817677558,7.8892717846050635,10.561850767087545
Supertone/supertonic-3,supertonic,49,49,15,2.0943320530395093,0.1263834209508751,0.35550445981854445,1.6405849233269691,2.9701695442199707,20.002580349261944,6.363401352726128,2.5225783144882,16.064699172973633,26.19085121154785,9.71011053884396,0.14090662227948078,0.3753753085639501,8.817965042607062,10.089109143944379
Supertone/supertonic-3,supertonic,50,50,14,2.1754365752761564,0.0318165957824662,0.17837207119520196,1.9445038987323642,2.524445199407637,21.649853547414143,2.8214778960988394,1.6797255418963062,19.410842895507812,24.94879150390625,9.913885607271729,0.11058705023119225,0.33254631291173903,9.206909293074222,10.351570779514278
Supertone/supertonic-3,supertonic,51,51,15,2.284886745019601,0.0820713703524675,0.2864810122023229,1.9081790251657367,2.827250361442566,21.96564014141376,4.5018842802263315,2.121764426185511,18.8139705657959,25.157737731933594,9.764151264251648,0.4447498393519084,0.6668956735141625,8.457218068138307,10.681031640892742
Supertone/supertonic-3,supertonic,52,52,14,2.2324707586473473,0.07753230995371503,0.2784462424844606,1.772829419001937,2.681216960772872,22.16205819447835,5.1869297873732245,2.2774832134119505,18.46011734008789,25.360130310058594,9.970151664921321,0.22114704479373895,0.47026274017163955,9.10586820481613,10.648553214700373
Supertone/supertonic-3,supertonic,53,53,21,2.3273199865790573,0.09903070430802748,0.3146914430168502,1.8247270276769996,2.860666487365961,22.10899483530145,4.807509042300828,2.192603256930179,17.862173080444336,26.374374389648438,9.638810488184482,0.3354068926293831,0.5791432401654906,8.411998468650618,10.480096744654436
Supertone/supertonic-3,supertonic,54,54,16,2.343679447924452,0.08753528291842295,0.2958636221613312,2.022504175081849,2.9810564927756786,22.966030393327987,4.6284762338529655,2.1513893729060216,20.013315200805664,26.94392967224121,9.826640541331646,0.23819709106502163,0.48805439355160163,8.748925240455591,10.44524642492363
Supertone/supertonic-3,supertonic,55,55,6,2.513343900286903,0.24444704516585603,0.4944158625750756,1.7666499372571707,3.307173317298293,22.799386660257976,12.839180178142872,3.5831801766228377,18.70185661315918,29.537946701049805,9.190640352833146,0.7850604961714439,0.8860363966403659,7.6411058380183885,10.586056817908661
Supertone/supertonic-3,supertonic,56,56,14,2.5722228308829167,0.0693423525025713,0.26332936126184503,2.1810483234003186,3.0049281520769,24.611255168914795,3.355477560827618,1.831796266189998,21.97325325012207,27.419404983520508,9.629097102313677,0.35009118994162575,0.5916850428577908,8.512674183751997,10.40064697398034
Supertone/supertonic-3,supertonic,57,57,11,2.9316059569310813,0.167570477436325,0.40935373143080667,2.4566717576235533,3.5081896586343646,28.851467344495987,9.962420658372094,3.1563302517911676,24.959518432617188,34.51557922363281,9.699831428802604,0.5020368820000983,0.7085456103879963,8.48056399601854,10.723874663678195
Supertone/supertonic-3,supertonic,58,58,10,2.7056278170086445,0.437551974224724,0.6614771154202721,1.957335451617837,4.452782738953829,25.80763645172119,16.01659984566173,4.002074442793603,19.080524444580078,34.96510696411133,9.703981597385225,0.629624259839428,0.7934886639640343,7.852417019637994,10.689945101332071
Supertone/supertonic-3,supertonic,59,59,5,2.668094659969211,0.1543209671182088,0.39283707452098865,2.3045547856017947,3.204571492038667,24.218022918701173,3.2010100212026735,1.7891366692353812,21.776416778564453,26.871950149536133,9.183915527974689,0.6351093849200636,0.7969375037730774,7.887615640796962,10.020578164879227
Supertone/supertonic-3,supertonic,60,60,4,3.029349339194596,0.3519267166100584,0.5932341161885908,2.463679490610957,3.9473216645419598,29.846040725708008,26.321924241785382,5.130489668811875,25.277429580688477,38.389801025390625,9.908933750305438,0.20904854600738954,0.4572182695468211,9.248359345871469,10.40181253402095
Supertone/supertonic-3,supertonic,61,61,11,2.5536403167578907,0.03666068544754171,0.19146980296522403,2.3939167205244303,3.0306247305125,25.088927798801,2.3448193306424927,1.5312802913387518,22.27577018737793,28.076263427734375,9.763298577347182,0.14402164487908573,0.37950183778090685,9.127001410566333,10.161774828057684
Supertone/supertonic-3,supertonic,62,62,5,2.9534805711358785,0.05475442806372234,0.23399664113769314,2.5047760820016265,3.1474730959162116,28.04113349914551,3.524448861212877,1.8773515550404716,25.05283546447754,30.380756378173828,9.51071518238501,0.11664122895189691,0.3415277865004499,9.107698160992818,10.002025987271972
Supertone/supertonic-3,supertonic,63,63,5,2.938403476215899,0.4253954037339379,0.6522234308378824,2.2898121513426304,4.122555060312152,27.645826721191405,12.275350370781089,3.50361960988648,23.106201171875,33.744163513183594,9.585893066510708,0.7122665376994434,0.8439588483447776,8.18525477998796,10.542991103565457
Supertone/supertonic-3,supertonic,64,64,5,3.032016513682902,0.24471047478183555,0.4946821957396845,2.21414228528738,3.6463211439549923,28.28153762817383,9.547427001460747,3.0898910986409773,23.919748306274414,33.3338737487793,9.486635215628938,1.3760134057565911,1.1730359780316166,7.321282030354582,10.803166745523672
Supertone/supertonic-3,supertonic,65,65,2,3.1637728111818433,0.13496981395106977,0.36738238111138344,2.79639043007046,3.5311551922932267,30.761829376220703,12.523073386924807,3.5387954711914062,27.223033905029297,34.30062484741211,9.72438698489901,0.00011395359654571914,0.010674904990009004,9.713712079909001,9.73506188988902
Supertone/supertonic-3,supertonic,66,66,4,3.4425566252321005,0.14738618485885638,0.3839090841056726,2.9571564504876733,4.026496386155486,29.420523166656494,14.98209071019187,3.8706705762944837,24.47706413269043,35.153343200683594,8.575806316398612,0.810604913090403,0.9003360001079613,7.080660284307017,9.451731481319618
Supertone/supertonic-3,supertonic,67,67,6,2.9931182314952216,0.13511544782854906,0.3675805324395581,2.586956807412207,3.613419495522976,28.42145029703776,7.525228870190606,2.7432150608712043,25.997831344604492,34.31448745727539,9.53895019747987,0.27693015469735555,0.5262415364614955,8.421575651089906,10.0495807545433
Supertone/supertonic-3,supertonic,68,68,2,3.454761616420001,0.21124017734995434,0.45960872201249003,2.9951528944075108,3.914370338432491,26.193470001220703,0.002121926812833408,0.04606437683105469,26.14740562438965,26.239534378051758,7.720257903882849,1.08244918099169,1.040408179990762,6.679849723892087,8.76066608387361
Supertone/supertonic-3,supertonic,69,69,2,2.452057395596057,0.0027554812120924033,0.052492677699774504,2.3995647178962827,2.5045500732958317,23.916086196899414,0.26995830430314527,0.5195751190185547,23.39651107788086,24.43566131591797,9.762487461188805,0.17714420036257714,0.4208850203589778,9.341602440829826,10.183372481547782
