model,consume_profile_label,policy,policy_label,max_num_seqs,lambda_req_s,unit_violation_amount_p99_s,violated_unit_count
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,256,32.0,11.41494065710344,12
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,256,48.0,2.890695790760219,21
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,256,64.0,1.821567901438102,12
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,256,80.0,11.902494876086703,13
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,128,8.0,1.83818717665039,2
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,128,16.0,1.7068132149428126,4
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,128,32.0,6.711075261710212,2
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,128,48.0,1.8788649779185653,3
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,128,64.0,2.0130952510982754,11
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,128,80.0,1.6012217393983155,10
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,8.0,1.6122948387358333,4
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,16.0,1.9364930503442883,5
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,32.0,1.119703236632049,14
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,48.0,9.24016105484217,15
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,64.0,1.8508464208245277,7
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,80.0,9.19142572164536,12
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,256,8.0,0.6792013047169894,2
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,256,16.0,3.31161742051132,2
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,256,32.0,1.471456196848303,2
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,256,48.0,1.430583944246173,3
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,256,64.0,0.7121950707398355,3
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,256,80.0,0.24555843323469162,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,128,8.0,17.83814322398975,7
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,128,32.0,0.1508302664756775,2
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,128,64.0,0.9032744970545172,5
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,128,80.0,2.3429543390125036,2
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,256,8.0,0.1255777014233172,3
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,256,16.0,5.349155574832111,7
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,256,32.0,0.8168503340892493,4
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,256,48.0,0.76758413111791,4
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,256,64.0,0.5443423362076283,3
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,256,80.0,2.372490662932396,3
