model,consume_profile_label,policy,policy_label,max_num_seqs,lambda_req_s,mean_admitted_inflight_requests,valid_consumable_unit_count,violated_unit_count,run_count,validity_pass,no_harm_pass,request_any_unit_missed_count,measured_request_count,unit_deadline_miss_rate,request_any_unit_miss_rate,cell_valid
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,256,8.0,255.99307247249004,23438.0,22.0,1,False,True,22,1025,0.0009386466422049663,0.021463414634146343,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,256,16.0,255.98879603652105,23601.0,25.0,1,False,True,25,1025,0.0010592771492733358,0.024390243902439025,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,256,32.0,255.9891877322615,23283.0,25.0,1,False,True,25,1025,0.0010737447923377572,0.024390243902439025,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,256,48.0,255.99211960341577,23359.0,20.0,1,False,True,20,1025,0.0008562010360032536,0.01951219512195122,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,256,64.0,255.99306820386352,23354.0,23.0,1,False,True,23,1025,0.0009848419970882932,0.0224390243902439,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,256,80.0,255.98894157454745,23524.0,26.0,1,False,True,25,1025,0.0011052542084679477,0.024390243902439025,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,Adaptive,128,8.0,279.4445765569743,19221.0,1.0,1,False,True,1,1025,5.202642942614848e-05,0.000975609756097561,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,Adaptive,128,16.0,277.8388484285718,19473.0,1.0,1,False,True,1,1025,5.135315565141478e-05,0.000975609756097561,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,Adaptive,128,32.0,278.3468037798192,19431.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,Adaptive,128,48.0,278.6049287203685,19453.0,1.0,1,False,True,1,1025,5.140595280933532e-05,0.000975609756097561,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,Adaptive,128,64.0,280.8862797615783,19226.0,1.0,1,False,True,1,1025,5.2012899199001353e-05,0.000975609756097561,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,Adaptive,128,80.0,279.32440632829116,19783.0,4.0,1,False,True,4,1025,0.0002021938027599454,0.003902439024390244,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,Adaptive,256,8.0,265.0536727198471,22525.0,4.0,1,False,True,4,1025,0.00017758046614872364,0.003902439024390244,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,Adaptive,256,16.0,262.8923649132487,21968.0,7.0,1,False,True,7,1025,0.00031864530225782955,0.006829268292682927,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,Adaptive,256,32.0,266.8471557576291,22631.0,12.0,1,False,True,12,1025,0.0005302461225752287,0.011707317073170732,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,Adaptive,256,48.0,266.6357347012289,22736.0,9.0,1,False,True,9,1025,0.00039584799437016185,0.00878048780487805,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,Adaptive,256,64.0,267.1037614350417,22188.0,14.0,1,False,True,14,1025,0.0006309716964124752,0.013658536585365854,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,Adaptive,256,80.0,266.31489035192664,22406.0,2.0,1,False,True,2,1025,8.926180487369455e-05,0.001951219512195122,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,128,8.0,127.99865572489244,23228.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,128,16.0,127.99909054507388,23032.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,128,32.0,127.99431813349688,22660.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,128,48.0,127.99909745215918,22780.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,128,64.0,127.9959097960701,22928.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,128,80.0,127.9990940179093,23077.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,256,8.0,255.99596810702636,22684.0,2.0,1,False,True,2,1025,8.816787162757891e-05,0.001951219512195122,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,256,16.0,255.9900271585198,23152.0,3.0,1,False,True,3,1025,0.0001295784381478922,0.002926829268292683,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,256,32.0,255.99215233595862,23055.0,4.0,1,False,True,4,1025,0.0001734981565820863,0.003902439024390244,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,256,48.0,255.98935627957852,23034.0,1.0,1,False,True,1,1025,4.341408352869671e-05,0.000975609756097561,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,256,64.0,255.9942139983291,23234.0,1.0,1,False,True,1,1025,4.3040371868812945e-05,0.000975609756097561,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,256,80.0,255.98812509474226,23088.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,Adaptive,128,8.0,523.3767032960891,11301.0,8.0,1,False,True,7,1025,0.0007079019555791523,0.006829268292682927,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,Adaptive,128,16.0,921.3585920959565,9730.0,10.0,1,False,True,10,1025,0.0010277492291880781,0.00975609756097561,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,Adaptive,128,32.0,929.7912182353493,9560.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,Adaptive,128,48.0,923.2533401894271,9160.0,1.0,1,False,True,1,1025,0.0001091703056768559,0.000975609756097561,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,Adaptive,128,64.0,895.2632904355886,9698.0,0.0,1,False,True,0,1025,0.0,0.0,False
