model,consume_profile_label,policy,policy_label,max_num_seqs,lambda_req_s,mean_admitted_inflight_requests,valid_consumable_unit_count,violated_unit_count,run_count,validity_pass,no_harm_pass,unit_deadline_miss_rate,cell_valid
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,256,8.0,262.17400579349874,23126.0,1.0,1,False,True,4.324137334601747e-05,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,256,16.0,263.1162704092974,23460.0,3.0,1,False,True,0.0001278772378516624,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,256,24.0,265.67034352348884,22944.0,3.0,1,False,True,0.0001307531380753138,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,256,32.0,261.31820746402093,22988.0,3.0,1,False,True,0.0001305028710631634,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,256,40.0,261.80931000307845,23159.0,2.0,1,False,True,8.635951465952762e-05,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,256,48.0,263.6185245536998,23322.0,4.0,1,False,True,0.00017151187719749593,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,128,8.0,127.99712797157913,23300.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,128,16.0,127.99872823893143,23088.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,128,24.0,127.99885433110798,22887.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,128,32.0,127.99951996754325,22735.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,128,40.0,127.99909269935944,23089.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,128,48.0,127.99864677818921,22874.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,256,8.0,255.98676162938656,22368.0,2.0,1,False,True,8.94134477825465e-05,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,256,16.0,255.9844555834265,23188.0,2.0,1,False,True,8.625150940141452e-05,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,256,24.0,255.99134287092315,23167.0,3.0,1,False,True,0.00012949453964691157,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,256,32.0,255.98593373773537,23065.0,5.0,1,False,True,0.00021677866897897247,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,256,40.0,255.98656911616627,23119.0,2.0,1,False,True,8.650893204723387e-05,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,vLLM,256,48.0,255.99781138782956,23374.0,1.0,1,False,True,4.278257893385813e-05,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,128,8.0,328.69970280448246,14693.0,0.0,1,True,True,0.0,True
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,128,16.0,691.8913113971574,10147.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,128,24.0,665.4129994701682,10453.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,128,32.0,692.5805142337795,10499.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,128,40.0,669.3998891945846,10490.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,128,48.0,651.8316765987431,12023.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,256,8.0,345.60708918820285,16973.0,0.0,1,True,True,0.0,True
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,256,16.0,835.6244054531697,11911.0,1.0,1,False,True,8.395600705230459e-05,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,256,24.0,882.3650405176376,11314.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,256,32.0,857.9434216029472,11692.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,256,40.0,853.380257309807,11953.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,256,48.0,808.7803471717496,12009.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,128,8.0,127.99903228881989,23194.0,1.0,1,False,True,4.311459860308701e-05,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,128,16.0,127.99893207667829,23602.0,1.0,1,False,True,4.236929073807304e-05,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,128,24.0,127.99749759851484,23132.0,2.0,1,False,True,8.646031471554557e-05,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,128,32.0,127.99946375128431,23419.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,128,40.0,127.9994701053032,23374.0,1.0,1,False,True,4.278257893385813e-05,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,128,48.0,127.9984989803396,23485.0,0.0,1,False,True,0.0,False
