model,chunk_unit,word_count,row_count,mean_duration_seconds,variance_duration_seconds,std_duration_seconds,min_duration_seconds,max_duration_seconds
hexgrad/Kokoro-82M,sentence,18,620,7.206048387096774,1.4820642234651404,1.217400601061598,4.375,12.7
hexgrad/Kokoro-82M,sentence,19,601,7.60549084858569,1.9459973048247377,1.3949900733785663,5.1,21.3
hexgrad/Kokoro-82M,sentence,20,597,8.076298157453937,1.5790445878190504,1.2566004089682012,5.2,14.65
hexgrad/Kokoro-82M,sentence,21,551,8.346778584392014,1.783618252245546,1.3355217153777568,4.9,13.025
hexgrad/Kokoro-82M,sentence,22,464,8.84186422413793,2.0388629578580186,1.4278875858617228,5.35,15.325
hexgrad/Kokoro-82M,sentence,23,462,9.201136363636364,1.8887500614915387,1.3743180350601307,6.075,14.0
hexgrad/Kokoro-82M,sentence,24,410,9.752256097560975,2.310615336853064,1.5200708328407146,6.35,14.2
hexgrad/Kokoro-82M,sentence,25,322,10.120419254658385,2.6133776968963387,1.6165944750914927,6.8,15.2
hexgrad/Kokoro-82M,sentence,26,265,10.427547169811321,2.7372883232467067,1.6544752410497736,7.025,16.9
hexgrad/Kokoro-82M,sentence,27,249,10.91495983935743,2.90860401445138,1.7054629912288863,7.075,20.65
hexgrad/Kokoro-82M,sentence,28,199,11.438190954773868,2.368886928360395,1.5391188805158602,7.875,16.7
hexgrad/Kokoro-82M,sentence,29,194,11.659278350515464,2.5272914895313,1.5897457310939067,8.575,16.9
